conversation_id,text,emotion,type,human_type,video_url,text_id,emotion_label,emotion_score
0,Sure.,,interview,client,,0,neutral,0.8414413928985596
0,Okay.,,interview,client,,1,neutral,0.5348885655403137
0,Yes.,,interview,client,,2,neutral,0.8983094692230225
0,Mm-hmm. Yes.,,interview,client,,3,neutral,0.5366108417510986
0,"Well, I like to watch movies, read a book, and take a bath but sometimes I drink when I take a bath.",,interview,client,,4,disgust,0.6846873164176941
0,Yes.,,interview,client,,5,neutral,0.8983094692230225
0,Maybe having less wine in the house.,,interview,client,,6,neutral,0.7128655910491943
0,"Well, I'm more ready than a six because I'm ready to cut back on my drinking and I don't wanna make my depression any worse.",,interview,client,,7,neutral,0.593023419380188
0,I'd say an eight.,,interview,client,,8,neutral,0.8952991366386414
0,"Well, I don't think that I'm ready to cut down to seven drinks a week. That seems like a lot but I would consider cutting back to two drinks a night. I think that would be my goal.",,interview,client,,9,neutral,0.9029957056045532
0,"Mm-hmm. Yes, sometimes I feel worse after drinking.",,interview,client,,10,disgust,0.8478771448135376
0,"No, it's not like I get crazy or anything but I just don't like the amount that I'm drinking.",,interview,client,,11,disgust,0.8357372879981995
0,Sometimes I just don't like how much I drink. I sometimes finish a bottle in one night.,,interview,client,,12,disgust,0.8981471061706543
0,Sure.,,interview,client,,13,neutral,0.8414413928985596
0,"Well, then I feel blur again.",,interview,client,,14,fear,0.7587541341781616
0,Yes on occasion.,,interview,client,,15,neutral,0.8527041673660278
0,Mm-hmm.,,interview,client,,16,neutral,0.5854405760765076
0,Something like that.,,interview,client,,17,neutral,0.9110317230224608
0,Okay.,,interview,client,,18,neutral,0.5348885655403137
0,"Well, I usually drink when I'm at home trying to unwind and I drink while I'm watching a movie. And sometimes, um, I take a bath but I also drink when I take a bath sometimes.",,interview,client,,19,disgust,0.5243374109268188
0,Usually three drinks and glasses of wine.,,interview,client,,20,neutral,0.8590689301490784
0,Hmm. Seven?,,interview,client,,21,surprise,0.7002087831497192
0,Wow. I knew my doctor didn't like me drinking the amount that I did but I didn't know that seven was the limit.,,interview,client,,22,surprise,0.975186049938202
0,Yes. What-what kind of health problems?,,interview,client,,23,fear,0.5968756079673767
0,"Hmm. Well, that's not good news.",,interview,client,,24,sadness,0.4700284004211426
0,"Well, to be honest, I drink sometimes when I'm feeling down and I find it more interesting and not so blur.",,interview,client,,25,sadness,0.6948185563087463
0,Okay.,,interview,client,,26,neutral,0.5348885655403137
1,I guess it's because I know that I need to do it to lose the weight.,,interview,client,,0,neutral,0.9249967932701112
1,Okay.,,interview,client,,1,neutral,0.5348885655403137
1,Great. It sounds good to me.,,interview,client,,2,joy,0.9648041129112244
1,A 10.,,interview,client,,3,neutral,0.666128396987915
1,"I'd say I didn't have any and I substituted it with, um, sugar-free drinks.",,interview,client,,4,neutral,0.9147032499313354
1,"I suppose I could replace it with, um, a low-calorie drink or drink more water.",,interview,client,,5,neutral,0.8584304451942444
1,"Getting the fruit juice of the house because I know if it's there I'll drink it. My wife does the shopping for us, so maybe if I ask her not to get the juice, that would solve it.",,interview,client,,6,neutral,0.925015151500702
1,Yes.,,interview,client,,7,neutral,0.8983094692230225
1,"Um, six or seven.",,interview,client,,8,neutral,0.9271278381347656
1,"To be honest, I have four or five -- four to six glasses of orange juice a day. Um, I have fruit for lunch and breakfast. I have, uh, usually one to two servings of a vegetable like lettuce or broccoli with thinner.",,interview,client,,9,neutral,0.9177367687225342
1,"Well, this changes quite a bit. I mean, here I'm thinking that my fruit intake is making me healthier and actually it's making me fatter.",,interview,client,,10,neutral,0.7041397094726562
1,"No, I didn't know. Um, but doesn't the fruit- food pyramid classify, um, fruit juice as a- a serving?",,interview,client,,11,neutral,0.5716942548751831
1,"Well, I think it's because I've been eating more fruits and vegetables, that- that's it.",,interview,client,,12,neutral,0.6620068550109863
1,I felt great and I felt really proud of myself. I thought that this was something that I could do.,,interview,client,,13,joy,0.9706863164901732
1,"I started watching what I ate and I ate less. I've been eating more fruits and vegetables. I've also been walking a lot. I'm walking up to 20 minutes a day now. I saw the weight come slowly off, um, and I felt better. But then when I watched it come back on again, you know, I gave up.",,interview,client,,14,neutral,0.4138363301753998
1,"No, by all means. I know we have to discuss it.",,interview,client,,15,neutral,0.8243800401687622
1,"Well, doc, I know you told me that I need to lose weight. And even though the scale didn't show today, I was able to lose about 5 pounds, but then I gained it right back.",,interview,client,,16,neutral,0.7749531865119934
1,"Obviously, I need to cut back on the fruit juice. But boy, do I love that OJ.",,interview,client,,17,neutral,0.3269343972206116
2,"Well, yeah, I mean, we've been married over 25 years, and uh, we've never had any major problems. Like this is-- this is the first problem. I don't even really see it as a problem cause we used to both smoke and I was trying to accommodate them by smoking outside, but it's feeling like we're going like this and I'm just concerned, like if this keeps going, like.",,interview,client,,0,fear,0.4609482884407043
2,Okay. Thanks.,,interview,client,,1,joy,0.4820215106010437
2,All right.,,interview,client,,2,neutral,0.6785574555397034
2,"Okay. I'll have to talk to her as well because their schedule changes from week to week, she works shifts, so I'll call you back tomorrow and we'll set something up.",,interview,client,,3,neutral,0.9392253756523132
2,"I wish my wife could have come today cause she's feels after like, just stop like right away. So do you think she could come with me at a future appointment or something and she could hear that message?",,interview,client,,4,neutral,0.6625592708587646
2,"So, I can actually do it that way like gradual taber?",,interview,client,,5,neutral,0.7667455673217773
2,"Yeah. Yeah. I-I'm just, I don't want to lose her or my family over smoking.",,interview,client,,6,sadness,0.3571251332759857
2,"Well, the big one of course is how it's affecting my wife and the family. Like my dad's 85, he still smokes. I mean, yeah, you know, sometimes I thought of quitting, but I mean, I don't know. I don't know if I can-- I don't know if I can quit.",,interview,client,,7,neutral,0.3074600100517273
2,"And she's got my kids on this against me, you know, my son and my daughter, they're, it's like, they're ganging up on me, you know what I mean?",,interview,client,,8,anger,0.4846550822257995
2,"Yeah, I've got to read this. That's my reading assignment for breakfast and I want to go out and have-- We used to go out and have a cigarette together at the table. Now I have to go outside in this weather, you know, what's that about? And she used to smoke more than me and now she's like holier than now?",,interview,client,,9,disgust,0.4792735576629638
2,"Well, she's concerned about my health and she cuts out all these articles from the paper about second-hand smoke and—",,interview,client,,10,disgust,0.3654645383358001
2,"Yeah, yeah. I'm only here because my wife forced me to come, you know. Like this has come to a head six months of just nagging me, relentless every day, because she was able to quit smoking and now I have to quit.",,interview,client,,11,neutral,0.5179842710494995
2,"Yeah. That's an understatement. I mean, I'm supposed to be at work right now, too, right? So-",,interview,client,,12,neutral,0.6858369708061218
2,"Yeah. Yeah, well, the only reason I'm here is 'cause my wife thinks I've got a problem with smoking. I've been smoking all my life and, uh, six months ago, uh, she thought, she got into this health kick, right? And now everyone who smokes is evil. And, uh, so that's why I'm here just to please her, get her off my back and—",,interview,client,,13,disgust,0.4996876418590545
2,Yeah.,,interview,client,,14,neutral,0.8143123984336853
3,"Well, I guess I'll try.",,interview,client,,0,neutral,0.8291213512420654
3,Okay.,,interview,client,,1,neutral,0.5348885655403137
3,"No, I don't- I don't, uh, really like the idea of taking pills. Uh, as a matter of fact, a couple of years ago, I had this jaw surgery. They gave me a prescription for Percocet. I took one, maybe feel weird. I think they're still sitting in the medicine cabinet.",,interview,client,,2,disgust,0.3531357944011688
3,"I don't use heroin or cocaine. I've never even thought about using the hard drugs. Back in school, 20 years or so ago, I smoked reefer, you know. Once I got out of school, I haven't used that at all.",,interview,client,,3,disgust,0.5879578590393066
3,Okay.,,interview,client,,4,neutral,0.5348885655403137
3,Maybe a little bit.,,interview,client,,5,neutral,0.9391063451766968
3,Okay.,,interview,client,,6,neutral,0.5348885655403137
3,"Uh, I do drink beer, I drink, you know, two to three pints on weekdays, sometimes on weekends, maybe four or five.",,interview,client,,7,neutral,0.8193300366401672
3,"I don't smoke. I smoked, you know, as a young adult, quit 20 years ago. I went cold turkey. I was proud of that, haven't even thought about smoking.",,interview,client,,8,neutral,0.7617400884628296
3,"Not really, I haven't been stressed. Uh, I've been working steady, you know, these days, I'm glad to have a job, I really am happy that I'm working, so.",,interview,client,,9,joy,0.991147756576538
3,Okay.,,interview,client,,10,neutral,0.5348885655403137
3,Sure.,,interview,client,,11,neutral,0.8414413928985596
3,"Well, I-- you know, my pressure has been high for years and, um, you know.",,interview,client,,12,neutral,0.5503465533256531
4,"Well, I-I [unintelligible 00:01:35]",,interview,client,,0,neutral,0.4160565435886383
4,"That's, uh, that's a huge amount of stuff to do and, I'm not- I'm not certain I can do all that, and on top of it, it's-it's-- if I don't get it all done, all this stuff happens to me?",,interview,client,,1,disgust,0.2326966971158981
4,[sighs],,interview,client,,2,disgust,0.4457273185253143
4,"Well, I'm supposed to come to learn about my-- how to manage my diabetes. Just got diagnosed.",,interview,client,,3,neutral,0.6943780779838562
4,Yeah.,,interview,client,,4,neutral,0.8143123984336853
4,"Yeah, that's what doctor said. She-she really laid into me about that. Said it was-- I guess, this is really serious stuff. She was talking about losing eyesight, mm, my feet, mm, problems with a lot of other stuff, and it really scared me. Uh, so, [sighs] you know, how-how-how to manage all this, I guess, is what I gotta learn, but it just sounds massive.",,interview,client,,5,fear,0.820457935333252
5,"Okay, all right.",,interview,therapist,https://www.youtube.com/watch?v=Cfl4d-qQ-co,0,neutral,0.4876047670841217
5,Okay.,,interview,therapist,https://www.youtube.com/watch?v=Cfl4d-qQ-co,1,neutral,0.5348885655403137
5,All right.,,interview,therapist,https://www.youtube.com/watch?v=Cfl4d-qQ-co,2,neutral,0.6785574555397034
5,All right.,,interview,therapist,https://www.youtube.com/watch?v=Cfl4d-qQ-co,3,neutral,0.6785574555397034
5,Okay.,,interview,therapist,https://www.youtube.com/watch?v=Cfl4d-qQ-co,4,neutral,0.5348885655403137
5,Uh-huh.,,interview,therapist,https://www.youtube.com/watch?v=Cfl4d-qQ-co,5,fear,0.3260794579982757
5,Uh-huh.,,interview,therapist,https://www.youtube.com/watch?v=Cfl4d-qQ-co,6,fear,0.3260794579982757
5,Mm-hmm.,,interview,therapist,https://www.youtube.com/watch?v=Cfl4d-qQ-co,7,neutral,0.5854405760765076
5,Mm-hmm.,,interview,therapist,https://www.youtube.com/watch?v=Cfl4d-qQ-co,8,neutral,0.5854405760765076
5,"Okay. So, what would help increase that confidence? What-- Because that sounds like where we really need to focus on. What's gonna help you feel more confident about this?",,interview,therapist,https://www.youtube.com/watch?v=Cfl4d-qQ-co,9,neutral,0.5384227633476257
5,Okay.,,interview,therapist,https://www.youtube.com/watch?v=Cfl4d-qQ-co,10,neutral,0.5348885655403137
5,"All right. Well, if it's okay, just for a moment, let's put the- let's put the changing the eating pattern off to the side, and let's take a look at some other time in your life that there was something you really wanted to accomplish and you did. And what is it about you- what was it about you? What kind of strengths did you bring to the table that allowed you to tackle something that felt like a challenge and-and allowed you to be successful?",,interview,therapist,https://www.youtube.com/watch?v=Cfl4d-qQ-co,11,neutral,0.5921643376350403
5,Okay.,,interview,therapist,https://www.youtube.com/watch?v=Cfl4d-qQ-co,12,neutral,0.5348885655403137
5,Uh-huh.,,interview,therapist,https://www.youtube.com/watch?v=Cfl4d-qQ-co,13,fear,0.3260794579982757
5,Okay.,,interview,therapist,https://www.youtube.com/watch?v=Cfl4d-qQ-co,14,neutral,0.5348885655403137
5,Okay.,,interview,therapist,https://www.youtube.com/watch?v=Cfl4d-qQ-co,15,neutral,0.5348885655403137
5,"So, why are you at a four and not even a lower number? Why are you not like a zero or a one?",,interview,therapist,https://www.youtube.com/watch?v=Cfl4d-qQ-co,16,surprise,0.7797015905380249
5,Okay?,,interview,therapist,https://www.youtube.com/watch?v=Cfl4d-qQ-co,17,anger,0.5919157862663269
5,"Okay. All right. So, let's talk about that, um, so we should just assume we're gonna be at a four.",,interview,therapist,https://www.youtube.com/watch?v=Cfl4d-qQ-co,18,neutral,0.8933538794517517
5,A six.,,interview,therapist,https://www.youtube.com/watch?v=Cfl4d-qQ-co,19,neutral,0.5738338232040405
5,Mm-hmm.,,interview,therapist,https://www.youtube.com/watch?v=Cfl4d-qQ-co,20,neutral,0.5854405760765076
5,"So, I'm gonna ask the question this way, on a scale of 0 to 10, where 0 is not at all confident, and 10 is like, ""I'm very, very confident,"" where would you put yourself on a scale right now of confidence in starting this new plan?",,interview,therapist,https://www.youtube.com/watch?v=Cfl4d-qQ-co,21,neutral,0.7438965439796448
5,Okay.,,interview,therapist,https://www.youtube.com/watch?v=Cfl4d-qQ-co,22,neutral,0.5348885655403137
5,"-on that. All right. So, I'd like to ask you, uh, kind of a scaling question about this 'cause I'm hearing that this feels really important to you that you'd be way up there on the high- on the high end of importance.",,interview,therapist,https://www.youtube.com/watch?v=Cfl4d-qQ-co,23,joy,0.7159310579299927
5,"So, again, I hear your overall goal is really, to not give up these things you'd like but to cut back on how much you have-",,interview,therapist,https://www.youtube.com/watch?v=Cfl4d-qQ-co,24,neutral,0.493243545293808
6,Mm-hmm.,,interview,therapist,https://www.youtube.com/watch?v=IqtaW2ufbcw,0,neutral,0.5854405760765076
6,What's your thinking around that?,,interview,therapist,https://www.youtube.com/watch?v=IqtaW2ufbcw,1,surprise,0.5575706958770752
6,"Yeah. So, in terms of being supportive and a sort of support you're gonna need to make these changes.",,interview,therapist,https://www.youtube.com/watch?v=IqtaW2ufbcw,2,neutral,0.8895255327224731
6,"So, Rick, just in regards to your flatmate situation at the moment with Tristan. Uh, you know, we talked about how walking through this program and with the support of your parents and having some positive influence to help you through this. I just want to rethink a bit if you stay living with Tristan. What are the sort of pros and cons of that? What are the good things about living there, what are the not-so-good things about living there?",,interview,therapist,https://www.youtube.com/watch?v=IqtaW2ufbcw,3,neutral,0.8783771395683289
6,"Okay. You're good to explore, but I just want to ask you about, how much does Chris-Christian-Christian know-- Tristan know about you changing your life? What does he really know about the changes you wanna make?",,interview,therapist,https://www.youtube.com/watch?v=IqtaW2ufbcw,4,neutral,0.805640697479248
6,Mm-hmm.,,interview,therapist,https://www.youtube.com/watch?v=IqtaW2ufbcw,5,neutral,0.5854405760765076
6,Right.,,interview,therapist,https://www.youtube.com/watch?v=IqtaW2ufbcw,6,neutral,0.8274132609367371
6,"Okay. What are some of the pros and cons about moving in with whāna, moving in with your auntie and uncle?",,interview,therapist,https://www.youtube.com/watch?v=IqtaW2ufbcw,7,neutral,0.8466127514839172
